T,Sb_th,varSb_th,Sc_th
5000,1069.9650146866616,2038.70969648147,1318.8950496719747
10000,1115.7007777918177,2982.769394006556,1364.585077014026
15000,1161.2084327130733,3915.9418448925817,1410.0472242803603
20000,1206.4891171453078,4838.363332675737,1455.2826280281627
25000,1251.543963109124,5750.168441551281,1500.2924191460145
30000,1296.374096979143,6651.490076984804,1545.077722882164
35000,1340.9806395121677,7542.459486084812,1589.6396588726554
40000,1385.3647058752001,8423.206277837719,1633.979341169325
45000,1429.5274056733203,9293.85844293926,1678.097878267647
50000,1473.4698429774269,10154.542373627231,1721.9963731344494
55000,1517.1931163518416,11005.382882958558,1765.6759232354898
60000,1560.6983188817671,11846.503224188502,1809.1376205628856
65000,1603.9865382006215,12678.02510966995,1852.3825516624208
70000,1647.0588565172234,13500.068729690041,1895.4117976607063
75000,1689.9163506428529,14312.752770978364,1938.2264342922101
80000,1732.5600920181655,15116.194435038364,1980.8275319261477
85000,1774.991146739983,15910.50945626394,2023.2161555932432
90000,1817.2105755879447,16695.81211990431,2065.3933650123568
95000,1859.219434051026,17472.215279585922,2107.360214616975
100000,1901.0187723539257,18239.830375011476,2149.1177535815723
