T,Sb_av,Sb_std,varSb_av,varSb_std,Sc_av,Sc_std
5000,1069.92333,0.1099592201682179,1537.13148,2.7861442722156156,1293.81682,0.5435701312618118
10000,1115.8056900000001,0.0924582332731998,2328.49737,3.26400972518466,1338.36526,0.8473662598900132
15000,1161.2047699999998,0.14154922147443147,3102.67167,4.736702364314001,1383.0205099999998,0.8253934921599357
20000,1206.55239,0.19941397368289923,3876.01794,4.203990646326377,1426.9336099999998,1.2335826202163582
25000,1251.74079,0.20321114364130563,4632.87794,7.7008452164940895,1470.7098,0.7508394275742564
30000,1296.47831,0.10946915958381226,5376.8532,9.483136730111953,1514.5666399999998,0.7069290264233651
35000,1340.96852,0.18794420874292872,6122.50892,11.530357872052353,1557.95667,1.1632032127275918
40000,1385.60154,0.24817635342636493,6853.2450499999995,11.310589223754102,1602.1378799999998,0.9662146074242398
45000,1429.6752700000002,0.3370057449064873,7568.28898,12.199350204727997,1645.1558,1.1747473030400424
50000,1473.6851,0.23212282955367344,8274.956900000001,13.850406356493197,1687.6523100000002,1.0840323606332432
55000,1517.2631099999999,0.19275234602984748,8981.60241,12.80268421562088,1729.64742,0.576635539660931
60000,1561.05126,0.3090623924064241,9682.664410000001,14.67842678671342,1773.12347,1.006244966248273
65000,1604.2506399999997,0.35198809979881635,10371.72551,23.575149519841684,1815.6637299999998,1.1961584937205814
70000,1647.24257,0.36497593085028024,11045.36103,19.694887104680273,1857.1868899999997,1.1774443600017068
75000,1690.31901,0.3828700313423,11721.686670000001,20.09450492249293,1899.1788099999999,1.0218805962048383
80000,1732.8788799999998,0.27350208335585324,12365.43951,27.755728769190966,1940.9352800000001,0.9558233956122982
85000,1775.3771000000002,0.3662997215396196,13023.02953,28.98117012951901,1982.15049,0.971386971757387
90000,1817.49686,0.28556951237839284,13655.91943,28.881645213424314,2023.02278,0.9169617328983605
95000,1859.7476599999998,0.3158485624471749,14313.419399999999,30.392154673336908,2065.1776099999997,0.9899778567725143
100000,1901.3775300000002,0.29264097816268936,14917.690410000001,20.753313558005335,2105.2256,1.0665110360422947
