T,Sb_av,Sb_std,varSb_av,varSb_std,S2_av,S2_std
5000,1069.9036099999998,0.13807339678592337,1755.29008,2.8960183189336783,1318.05331,0.8079094633063576
10000,1115.80055,0.15586929941463018,2611.07677,4.460611806478889,1363.76867,0.6311428777226348
15000,1161.17699,0.25560987637406885,3444.6855100000002,5.0922677919469255,1408.3864299999998,0.8227789302722072
20000,1206.51537,0.2519449981642944,4273.0064600000005,8.11200782694388,1452.66003,1.510887675540485
25000,1251.7286599999998,0.24745383892758144,5091.9937899999995,3.186959506002545,1497.0739399999998,0.5945056369791513
30000,1296.41029,0.26490053397456675,5895.861459999999,9.387753008595558,1541.43046,0.6860109710493414
35000,1340.90802,0.25974503575620994,6693.01045,7.609559424204402,1585.1375600000003,1.135097737818153
40000,1385.5639500000002,0.2606287637618024,7484.10765,11.93814501522337,1629.63914,1.2533642935715286
45000,1429.60863,0.3920913160222103,8248.91535,16.292810731132487,1672.5768799999998,1.44369152646954
50000,1473.6029399999998,0.22194883734766022,9006.70438,12.784579424040222,1716.19602,1.165199950909653
55000,1517.19816,0.2811270040391356,9764.230870000001,15.8841300655751,1758.64225,0.6041309663475152
60000,1560.9859099999999,0.3980926184947195,10527.779,22.167804884064964,1802.23858,1.1251588179452392
65000,1604.2107799999999,0.44199950407209204,11254.009829999999,23.175473851727766,1845.5554100000002,1.5138114779918739
70000,1647.18086,0.3948553765621544,11982.6759,23.66597754351191,1887.2338499999998,1.213886177736649
75000,1690.2641899999999,0.4839912983721347,12711.403719999998,25.7355028778071,1929.8703099999998,1.1719381711080068
80000,1732.83372,0.22466980126398142,13404.18607,23.161466873410102,1971.8366,1.0963431087027284
85000,1775.3097800000003,0.3397221888544795,14104.66103,17.105895255264986,2013.68697,0.9754471457234688
90000,1817.41237,0.3261446061182136,14781.08428,28.94893143080714,2054.9263100000003,1.0714540068990819
95000,1859.6821599999998,0.39657142408401014,15485.762759999998,23.839474574251895,2097.7788100000002,1.1827605661755949
100000,1901.35371,0.4120875015091007,16130.454139999998,23.32199868031018,2138.28363,1.3695203657119157
