T,Sb_th,varSb_th,S2_th
5000,1069.9650146866616,2963.3397191611257,1318.8950496719747
10000,1115.7007777918177,4211.512024969162,1364.585077014026
15000,1161.2084327130733,5447.280315420028,1410.0472242803603
20000,1206.4891171453078,6670.788438969222,1455.2826280281627
25000,1251.543963109124,7882.178507001112,1500.2924191460145
30000,1296.374096979143,9081.590914628363,1545.077722882164
35000,1340.9806395121677,10269.164361251755,1589.6396588726554
40000,1385.3647058752001,11445.035870981514,1633.979341169325
45000,1429.5274056733203,12609.340812654067,1678.097878267647
50000,1473.4698429774269,13762.212919849262,1721.9963731344494
55000,1517.1931163518416,14903.784310350964,1765.6759232354898
60000,1560.6983188817671,16034.185505708869,1809.1376205628856
65000,1603.9865382006215,17153.545450319518,1852.3825516624208
70000,1647.0588565172234,18261.991530443716,1895.4117976607063
75000,1689.9163506428529,19359.64959289464,1938.2264342922101
80000,1732.5600920181655,20446.643963548217,1980.8275319261477
85000,1774.991146739983,21523.09746563788,2023.2161555932432
90000,1817.2105755879447,22589.131437896613,2065.3933650123568
95000,1859.219434051026,23644.865752255224,2107.360214616975
100000,1901.0187723539257,24690.4188317168,2149.1177535815723
