T,Sb_th,varSb_th,Sc_th
5000,1069.9650146866616,1520.9168837808636,1318.2966570908566
10000,1115.7007777918177,2294.673520667498,1363.3902823289684
15000,1161.2084327130733,3058.392301397213,1408.2580105210889
20000,1206.4891171453078,3812.205273151387,1452.9009708066337
25000,1251.543963109124,4556.242804899377,1497.3202866860127
30000,1296.374096979143,5290.633607904413,1541.5170760487767
35000,1340.9806395121677,6015.5047559913255,1585.4924512016244
40000,1385.3647058752001,6730.981705677195,1629.2475188962753
45000,1429.5274056733203,7437.1883158989685,1672.7833803571957
50000,1473.4698429774269,8134.246867742897,1716.1011313091929
55000,1517.1931163518416,8822.278083618814,1759.2018620048689
60000,1560.6983188817671,9501.4011465371,1802.0866572519346
65000,1603.9865382006215,10171.733718906196,1844.7565964403927
70000,1647.0588565172234,10833.391961267987,1887.2127535695831
75000,1689.9163506428529,11486.490550705257,1929.4561972750919
80000,1732.5600920181655,12131.142699072852,1971.4879908555258
85000,1774.991146739983,12767.46017101454,2013.3091922991548
90000,1817.2105755879447,13395.553301828626,2054.920854310423
95000,1859.219434051026,14015.531014891121,2096.3240243363225
100000,1901.0187723539257,14627.500839256501,2137.519744592639
