T,Sb_av,Sb_std,varSb_av,varSb_std,Sc_av,Sc_std
5000,1069.90292,0.09736293750706487,1578.09332,2.9281125230427762,1318.3795799999998,0.5707140664115368
10000,1115.7916,0.1497723672777758,2369.1514899999997,4.242452449338683,1363.4102200000002,0.8332981912856889
15000,1161.18542,0.20177432344079674,3146.50138,4.731400770765513,1408.4716299999998,0.9389117956975445
20000,1206.53127,0.2371732702055493,3919.92848,8.481773979752141,1452.7639199999999,1.4139836270622173
25000,1251.7312200000001,0.21414325485530175,4679.40763,7.341412372840666,1497.1381300000003,0.6741858705876639
30000,1296.4687000000001,0.16028042924828068,5420.13053,8.63937028353914,1541.2388199999998,0.4705554840824224
35000,1340.95307,0.17678222789637085,6162.18015,12.20199272407996,1585.08351,0.8569891953228114
40000,1385.57582,0.2529098052666809,6894.111,14.35686136653827,1629.95552,1.3901534064987422
45000,1429.64526,0.35716674593253195,7603.5484400000005,13.610569083634678,1673.2030200000002,1.3717599897940695
50000,1473.65513,0.20095936927647806,8309.74019,9.817260575685117,1716.19672,1.2268115884682091
55000,1517.2066399999999,0.1897614038733828,9006.71597,13.024233663064152,1758.7089700000001,0.736287528143707
60000,1560.99265,0.3449727242840843,9708.34153,16.37729444194259,1802.35745,1.0553552067905554
65000,1604.1763400000002,0.34427715346796867,10393.57175,14.177072949395862,1845.32199,1.1800362413502372
70000,1647.1836200000002,0.3507913875795744,11059.76121,16.2292368578714,1887.15126,1.4772833311183347
75000,1690.24037,0.400219697291424,11727.592679999998,17.999213200793328,1929.65262,1.1831798280904269
80000,1732.7434399999997,0.22028256490248008,12363.416860000001,21.160268690931325,1971.8967499999999,1.0857000997052033
85000,1775.25766,0.3952298197251742,13014.420649999998,18.524964299952575,2013.8070600000003,0.9896125274065668
90000,1817.3918999999999,0.17590884571277254,13638.220580000003,12.806608086905909,2054.7894,0.6343422341292931
95000,1859.63679,0.2980346437916222,14279.855489999998,20.403909055347377,2097.2404100000003,0.7536527866995484
100000,1901.2854799999998,0.2959283352435393,14878.112810000002,18.34780657187385,2138.28217,1.3370405790774782
