T,Sb_av,Sb_std,varSb_av,varSb_std,Sc_av,S2_std
5000,1224.1155800000001,0.12352289504382936,1839.47117,3.596592159266843,1472.13519,0.8129947656043296
10000,1276.6282400000002,0.1433129526596051,2803.61551,5.447791742614528,1524.45297,0.6298655920908878
15000,1328.53849,0.22653896110829203,3740.0742999999993,6.450143750491185,1575.5922699999999,0.8058422563379871
20000,1380.41865,0.2209942046751205,4670.1138200000005,9.757553634984621,1626.38402,1.4736303402142026
25000,1432.15654,0.22682428529588533,5588.3728,4.102152988127216,1677.3467100000003,0.60494409237543
30000,1483.2603599999998,0.2546088144585903,6488.96602,11.346602431635601,1728.10615,0.6746524382969153
35000,1534.1807399999998,0.2289856598130538,7381.31548,9.797643649960019,1778.26384,1.1068921801151814
40000,1585.24228,0.2574814043771136,8264.625000000002,14.794737643432512,1829.1598299999998,1.2601381178664381
45000,1635.65536,0.3717268895304897,9116.195479999998,19.664926490622538,1878.44852,1.4285180039468264
50000,1685.97026,0.2188271518802414,9958.72854,17.047284579967755,1928.3878600000003,1.1557851506226802
55000,1735.8845399999998,0.28659742915806097,10803.02963,20.081894062615483,1977.1632100000002,0.6054963475528788
60000,1785.93993,0.3755049401805445,11652.956329999999,27.952164909324864,2027.0190000000002,1.1088141377165182
65000,1835.4086300000004,0.41483819026220453,12456.36401,29.560693088473116,2076.58068,1.4929724825327098
70000,1884.6158899999998,0.4004836836875955,13264.655430000003,29.600443094894487,2124.4683,1.2165502496814222
75000,1933.8525100000002,0.4651277877099898,14071.41103,32.67234180269464,2173.27751,1.1406506033399793
80000,1982.60236,0.21267544381051048,14835.11563,30.391203289144208,2221.4318,1.1254550377512385
85000,2031.16653,0.33589258119226845,15607.3258,21.62719931207007,2269.3355,0.9590128132617762
90000,2079.34893,0.3404969839807216,16351.860990000001,37.528358295466354,2316.6805,1.0852209673610431
95000,2127.6935000000003,0.3789908574095081,17127.643190000003,30.54474144779865,2365.6403999999998,1.163975331353877
100000,2175.38534,0.37043865133109927,17830.829990000002,30.10244733035629,2412.10651,1.320728290338344
