T,Sb_th,varSb_th,S2_th
5000,1069.9650146866616,1749.7628143940794,1318.8950496719747
10000,1115.7007777918177,2598.787321830745,1364.585077014026
15000,1161.2084327130733,3437.398572852758,1410.0472242803603
20000,1206.4891171453078,4265.730486959026,1455.2826280281627
25000,1251.543963109124,5083.915296098213,1500.2924191460145
30000,1296.374096979143,5892.083565221197,1545.077722882164
35000,1340.9806395121677,6690.364212595147,1589.6396588726554
40000,1385.3647058752001,7478.884529980289,1633.979341169325
45000,1429.5274056733203,8257.770202403388,1678.097878267647
50000,1473.4698429774269,9027.145327932856,1721.9963731344494
55000,1517.1931163518416,9787.132436898439,1765.6759232354898
60000,1560.6983188817671,10537.852511213398,1809.1376205628856
65000,1603.9865382006215,11279.425003216971,1852.3825516624208
70000,1647.0588565172234,12011.96785445453,1895.4117976607063
75000,1689.9163506428529,12735.597514129542,1938.2264342922101
80000,1732.5600920181655,13450.42895737905,1980.8275319261477
85000,1774.991146739983,14156.575703334598,2023.2161555932432
90000,1817.2105755879447,14854.149833031728,2065.3933650123568
95000,1859.219434051026,15543.262006876781,2107.360214616975
100000,1901.0187723539257,16224.021482291078,2149.1177535815723
