r,Sb_av,Sb_std,varSb_av,varSb_std,Sc_av,Sc_std,SDNR_av,SDNR_std
0,1115.80837,0.11229740914192185,2406.9291500000004,3.1818126460399343,1338.3558500000001,0.8339860793202818,4.536187100206293,0.01699289883459623
1,1115.7778400000002,0.1157666895095272,2371.9923200000003,4.3838336156382205,1363.2738399999998,0.9738716015985118,5.081732365102577,0.019423654424319616
5,1115.78651,0.12398257498533427,2369.5424700000003,3.7289054766915273,1363.49476,0.9375150368926976,5.088710766393189,0.016464200932428407
10,1115.7946100000001,0.13874892035617156,2370.22358,2.927222373787102,1363.2256499999999,0.9204518306244118,5.082285327931736,0.015796099707018063
25,1115.79328,0.11248240573526241,2372.3011500000002,4.230196419612291,1363.40017,0.8063830343577609,5.083684839392137,0.018505356740341764
50,1115.8077799999999,0.13374315533882658,2372.05159,4.376088924930665,1363.10777,0.783987167050609,5.077637511916466,0.012816708845583294
100,1115.79946,0.14914376420085984,2372.0468,2.1255000084685585,1363.51937,0.8431212618004464,5.086266367227603,0.015574087091111329
200,1115.8088799999998,0.14537983904248483,2369.91101,5.071338625934975,1363.3244,0.9143093841801229,5.084371484822618,0.019353570861547126
500,1115.7656800000002,0.12796863521974053,2370.68275,3.8390869769387765,1363.2615,0.6666193666553453,5.0831339106120845,0.014495484371400818
1000,1115.78451,0.14814566784080538,2368.6337900000003,4.724227581827518,1363.0704200000002,0.8302072160611701,5.081020117512534,0.018162293884985574
2000,1115.76425,0.12283269312364431,2371.2405499999995,2.9773518859046617,1362.9449399999999,0.8596920986027474,5.076068316489474,0.019814032760525502
5000,1115.8066900000001,0.14404023361546017,2371.97825,3.213239317962453,1363.00697,0.9016596786481985,5.075675248144771,0.019806631223295026
10000,1115.7732700000001,0.1544879027626622,2374.4464199999998,3.9693117261812434,1362.0666299999998,0.8911629638287462,5.05442729133132,0.01868815687125016
