T,Sb_th,varSb_th,Sc_th
5000,1069.9650146866616,2443.2353314038187,1318.2966570908566
10000,1115.7007777918177,3520.344295052695,1363.3902823289684
15000,1161.2084327130733,4585.902425748339,1408.2580105210889
20000,1206.4891171453078,5640.049316679135,1452.9009708066337
25000,1251.543963109124,6682.922845185581,1497.3202866860127
30000,1296.374096979143,7714.659193453859,1541.5170760487767
35000,1340.9806395121677,8735.392868970348,1585.4924512016244
40000,1385.3647058752001,9745.256724838127,1629.2475188962753
45000,1429.5274056733203,10744.381979689486,1672.7833803571957
50000,1473.4698429774269,11732.898237599366,1716.1011313091929
55000,1517.1931163518416,12710.933507442733,1759.2018620048689
60000,1560.6983188817671,13678.614222353659,1802.0866572519346
65000,1603.9865382006215,14636.065258704133,1844.7565964403927
70000,1647.0588565172234,15583.40995501977,1887.2127535695831
75000,1689.9163506428529,16520.77013056673,1929.4561972750919
80000,1732.5600920181655,17448.26610376142,1971.4879908555258
85000,1774.991146739983,18366.016710365035,2013.3091922991548
90000,1817.2105755879447,19274.139321525938,2054.920854310423
95000,1859.219434051026,20172.749861378736,2096.3240243363225
100000,1901.0187723539257,21061.962824820053,2137.519744592639
