T,Sb_av,Sb_std,varSb_av,varSb_std,Sc_av,Sc_std
5000,1085.6612,0.11180086761737669,1552.25535,2.9674743517847,1333.79825,0.8017757407779765
10000,1132.23678,0.14466196321078229,2343.7680800000003,2.1381554259688262,1379.9430700000003,0.8532078868013909
15000,1178.28028,0.17851110777770687,3117.02647,4.346572410313685,1425.3894599999999,0.8422445882283264
20000,1224.29308,0.19496016413613593,3888.0721700000004,4.71730169229186,1470.31474,1.116286546725364
25000,1270.16642,0.18207150683189202,4647.853389999999,7.868283904696223,1515.3990900000001,0.6771787865105966
30000,1315.53097,0.17536330887612198,5389.22343,6.189309416251534,1560.2471600000001,1.0215891778989303
35000,1360.68112,0.235859020603395,6126.75383,6.525285062899749,1605.05315,1.151569526559284
40000,1405.96613,0.2938596979852396,6852.188099999999,13.175031917684311,1650.0744600000003,1.116690660120363
45000,1450.7225700000001,0.34514799448933914,7557.3087,9.902976838102507,1694.1415100000002,1.3560865123214487
50000,1495.37211,0.2408115589003547,8265.53737,15.816968020138722,1737.6970299999998,1.2861704490852022
55000,1539.60291,0.20396450892244164,8965.294399999999,18.58623181067127,1780.6634000000001,0.7425705596103717
60000,1584.01442,0.300162578613598,9659.79385,15.992628389119758,1825.5183200000004,1.0018358945456505
65000,1627.8788100000002,0.32509339719535013,10334.87358,15.609195345936124,1868.97482,1.220754636935694
70000,1671.51322,0.3232960618381076,11002.23063,13.192264766450162,1911.7082000000003,1.3748810479456404
75000,1715.2140100000001,0.33994652653021273,11665.92274,17.50968548125243,1954.99516,1.1444144600624242
80000,1758.3977200000002,0.28044438593056464,12300.73971,13.844861953552218,1997.62759,1.0993143576338917
85000,1801.5397,0.38646007814517463,12947.57225,22.958739704750553,2039.8850700000003,1.3437034457423533
90000,1844.2775000000001,0.2576524247896892,13561.53137,13.27402853959964,2081.4340199999997,0.8921918715164627
95000,1887.1205599999998,0.32827481231433187,14212.21727,12.682590162663642,2124.98009,0.7551401359350794
100000,1929.4101300000002,0.30471952694241833,14797.65854,14.640623541174557,2165.9935899999996,0.9789211607171769
