T,Sb_av,Sb_std,varSb_av,varSb_std,Sc_av,Sc_std
5000,1098.73953,0.11219003565381354,1577.10107,3.0236028935857293,1346.86571,0.8027134861830043
10000,1145.87565,0.1430820691072289,2383.4438199999995,2.1781312705161855,1393.5702899999999,0.850423700810372
15000,1192.4741600000002,0.18447416729720412,3171.10737,4.461937501142453,1439.5708499999998,0.8477696317396746
20000,1239.04108,0.19872492445590462,3956.5263,4.769402707048358,1485.0467,1.1169369722594502
25000,1285.46792,0.18389049893883705,4730.468510000001,8.014756429542938,1530.68497,0.6685031863049677
30000,1331.37654,0.18438898665598902,5485.564250000001,6.326152630983482,1576.07845,1.0229478258933293
35000,1377.07229,0.24063004155757445,6236.7654600000005,6.611982498494824,1621.4328899999996,1.1530682949851192
40000,1422.89884,0.29147390346302793,6975.479880000001,13.397050030644825,1666.9952799999999,1.1127744765225627
45000,1468.19671,0.3484936138583021,7693.54697,10.060587687212635,1711.60563,1.3508265166556361
50000,1513.3823,0.24033218677490445,8414.71575,16.040550618495264,1755.69124,1.2840404247530481
55000,1558.14903,0.2052144539256388,9127.426779999998,18.960607491153564,1799.1963799999999,0.7378949922584078
60000,1603.09281,0.30372471894791386,9834.48785,16.331778133886473,1844.58024,1.0120491462374221
65000,1647.4857500000003,0.33165439014130266,10521.819739999999,15.931149281467425,1888.5678500000001,1.2270122772408738
70000,1691.6503400000001,0.3257528547840993,11201.335410000002,13.417852595512658,1931.8267899999998,1.3793219388163498
75000,1735.8731400000001,0.34577313140264343,11876.982329999999,17.83640846555496,1975.6396699999998,1.1444010984353712
80000,1779.5820200000003,0.277358294629883,12523.19263,14.100723299252664,2018.7919199999997,1.0933529245399403
85000,1823.2394400000005,0.38294997375637513,13181.608870000002,23.346732746362793,2061.5719,1.3373734504617305
90000,1866.4924800000001,0.2549329080365811,13806.69197,13.546077198735594,2103.63207,0.8978267038242294
95000,1909.84958,0.33571102990520096,14468.84461,12.907939470453893,2147.69424,0.7625416135529786
100000,1952.6513700000003,0.3075684315725287,15064.60405,14.93073523978285,2189.21167,0.9790624464762612
