T,Sb_th,varSb_th,Sc_th
5000,1069.9650146866616,1555.5905096313506,1318.2966570908566
10000,1115.7007777918177,2340.751369328596,1363.3902823289684
15000,1161.2084327130733,3115.817494041992,1408.2580105210889
20000,1206.4891171453078,3880.9212146373925,1452.9009708066337
25000,1251.543963109124,4636.193182353745,1497.3202866860127
30000,1296.374096979143,5381.762389316046,1541.5170760487767
35000,1340.9806395121677,6117.756188810085,1585.4924512016244
40000,1385.3647058752001,6844.300315420088,1629.2475188962753
45000,1429.5274056733203,7561.518904763274,1672.7833803571957
50000,1473.4698429774269,8269.534513226223,1716.1011313091929
55000,1517.1931163518416,8968.468137146028,1759.2018620048689
60000,1560.6983188817671,9658.439232094113,1802.0866572519346
65000,1603.9865382006215,10339.565731680555,1844.7565964403927
70000,1647.0588565172234,11011.96406629625,1887.2127535695831
75000,1689.9163506428529,11675.749181527117,1929.4561972750919
80000,1732.5600920181655,12331.03455639197,1971.4879908555258
85000,1774.991146739983,12977.932221366063,2013.3091922991548
90000,1817.2105755879447,13616.552776253337,2054.920854310423
95000,1859.219434051026,14247.00540761622,2096.3240243363225
100000,1901.0187723539257,14869.397906382952,2137.519744592639
