T,Sb_av,Sb_std,varSb_av,varSb_std,Sc_av,S2_std
5000,1069.91401,0.264286588573864,2989.1753099999996,3.0225190134886173,1318.06147,0.8398856839475005
10000,1115.81164,0.29307041201729417,4265.59095,5.149979337871248,1363.82592,0.7138057337959192
15000,1161.1882600000001,0.4218542241106353,5515.112439999999,5.4600534091162185,1408.43572,0.8707802039550713
20000,1206.5276099999996,0.4099391795133182,6758.74786,8.51399537105839,1452.65329,1.5880621967982747
25000,1251.7406799999997,0.40725572261173676,7992.229880000001,2.8877436024686873,1497.04038,0.5977069194847336
30000,1296.42318,0.457328052496155,9204.597339999998,10.786220309469021,1541.44784,0.8091039169352593
35000,1340.91909,0.4386349061577068,10409.757090000001,7.647127897772854,1585.16685,1.1961627474971273
40000,1385.5769599999999,0.3762583452894831,11607.97706,12.997349732095415,1629.6406399999998,1.3377214016379142
45000,1429.6205300000001,0.5534299830150643,12777.17558,16.910038092434636,1672.5796300000002,1.472919735796845
50000,1473.61726,0.3840472111602674,13935.778620000001,12.920310636807129,1716.2402200000001,1.08783536419807
55000,1517.21047,0.46462962895192106,15094.041870000001,17.08334079775109,1758.64055,0.6959431129768477
60000,1560.99854,0.5768866252566308,16255.48529,23.240605048082,1802.20821,1.220310602633587
65000,1604.22269,0.6339438452260284,17376.96482,25.011048814985198,1845.5013900000001,1.6102318699180973
70000,1647.1934099999999,0.5370828249906163,18500.52141,25.736002333402592,1887.2933500000004,1.2963100958103817
75000,1690.2759700000001,0.683882533846336,19621.676450000003,27.593010266269488,1929.8747199999998,1.324490457345709
80000,1732.8469499999999,0.39972984189329586,20703.873499999998,23.981084027041042,1971.7328300000001,0.9898952884522827
85000,1775.3247500000002,0.47086691378773654,21792.049499999997,17.430214482100098,2013.79107,1.061470481973019
90000,1817.43023,0.4904314326182423,22853.33295,29.449011087104832,2054.94106,1.312971437770095
95000,1859.7005899999997,0.6176690901283716,23942.15667,24.916213566914582,2097.79026,1.365332691471155
100000,1901.3722300000002,0.6343329899193257,24968.643780000002,24.944192571610213,2138.30779,1.482222999720542
