T,Sb_th,varSb_th,Sc_th
5000,1069.9650146866616,2963.339719161124,1318.2966570908566
10000,1115.7007777918177,4211.512024969159,1363.3902823289684
15000,1161.2084327130733,5447.280315420026,1408.2580105210889
20000,1206.4891171453078,6670.788438969219,1452.9009708066337
25000,1251.543963109124,7882.178507001108,1497.3202866860127
30000,1296.374096979143,9081.590914628357,1541.5170760487767
35000,1340.9806395121677,10269.164361251751,1585.4924512016244
40000,1385.3647058752001,11445.035870981508,1629.2475188962753
45000,1429.5274056733203,12609.340812654062,1672.7833803571957
50000,1473.4698429774269,13762.212919849255,1716.1011313091929
55000,1517.1931163518416,14903.784310350957,1759.2018620048689
60000,1560.6983188817671,16034.185505708861,1802.0866572519346
65000,1603.9865382006215,17153.54545031951,1844.7565964403927
70000,1647.0588565172234,18261.991530443705,1887.2127535695831
75000,1689.9163506428529,19359.649592894628,1929.4561972750919
80000,1732.5600920181655,20446.64396354821,1971.4879908555258
85000,1774.991146739983,21523.097465637868,2013.3091922991548
90000,1817.2105755879447,22589.131437896598,2054.920854310423
95000,1859.219434051026,23644.86575225521,2096.3240243363225
100000,1901.0187723539257,24690.418831716786,2137.519744592639
