T,Sb_av,Sb_std,varSb_av,varSb_std,S2_av,S2_std
5000,1069.6696900000002,0.05821576161145741,890.0361300000001,1.9976335239728182,1316.99043,0.46495618083855944
10000,1115.53281,0.10065080675285358,1446.36196,3.6403492170944465,1362.9394200000002,0.8047840552595783
15000,1160.9278799999997,0.08557096236459663,1998.1104200000002,3.3129391768639325,1407.7126600000001,0.8687691064949635
20000,1206.22523,0.10886203240800123,2535.6727,4.520499591416842,1452.26424,0.5886210380203218
25000,1251.3009200000001,0.09823027842769867,3069.66249,4.345942506856225,1496.99038,1.0984242894255196
30000,1296.11939,0.11864471711795536,3594.74326,7.2095980021357535,1541.36151,0.8995473789078839
35000,1340.76492,0.08716571344282104,4116.78147,12.782300755188704,1585.2357699999998,0.6410925612577022
40000,1385.00961,0.11628348506986352,4614.47117,10.973642024783638,1628.7567299999998,0.920611556575343
45000,1429.28571,0.13416789817237823,5100.22401,10.394387629913462,1672.42161,1.199091323836478
50000,1473.26168,0.1233967163257539,5581.088269999999,11.866544253071117,1716.25374,0.5247777323781786
55000,1516.7540700000002,0.12711470449956386,6052.499870000001,12.361723921609888,1758.0795700000003,0.9833047554547678
60000,1560.3564299999998,0.09884539493573022,6508.899579999999,11.871710296481972,1802.0389799999998,0.7036279113281095
65000,1603.6227999999999,0.12052055426350639,6977.88786,15.394859604504513,1844.5986,0.7922667341242193
70000,1646.5932100000002,0.12723843326600012,7426.777720000001,15.269676235847479,1886.5421099999999,0.9690589037308561
75000,1689.5621299999998,0.16525860976048684,7869.428430000002,13.122887335266672,1929.25125,0.8836791750969808
80000,1732.26407,0.17217931960602226,8292.7848,16.307931110842986,1971.3501999999996,0.8729670933088219
85000,1774.84496,0.11687134978254776,8709.271330000001,19.579542347514614,2013.47333,0.7975543016622397
90000,1817.0842100000002,0.11409726946775649,9111.24184,17.64580011471279,2054.09748,0.6532454114649516
95000,1859.1309999999999,0.12659059996696406,9519.220980000002,25.91301465413849,2095.7841999999996,0.5334038338819618
100000,1901.04013,0.1956924477336887,9918.87129,24.13874007936012,2137.49996,0.6224337413734379
