T,Sb_av,Sb_std,varSb_av,varSb_std,S2_av,S2_std
500,1028.4427,0.047914528068260485,813.40096,1.095449171070931,1277.7019,0.47323492052046917
1000,1033.24111,0.0434277664634073,891.85121,1.3119548326447743,1282.50049,0.3349261902270521
5000,1069.90003,0.13001234595219108,1519.2945499999998,2.9554796416994886,1318.37034,0.5631223547329895
10000,1115.7888699999999,0.14001521381627655,2290.31281,4.2007081630246175,1363.40203,0.8353300521949367
15000,1161.1823,0.16242229526760593,3047.91004,4.607552794966078,1408.46362,0.9246675259788869
20000,1206.52736,0.2086712735381238,3801.609879999999,8.535221848762863,1452.75262,1.4320433036748945
25000,1251.7278700000002,0.2007723240389956,4541.324629999999,7.327957546417839,1497.1454099999999,0.7127455821679912
30000,1296.4648699999998,0.11459706846163326,5262.537139999999,8.65151867017609,1541.25631,0.4862540744301567
35000,1340.9490099999998,0.13758763352856038,5985.08231,12.166671214794386,1585.0973200000003,0.8567222488064664
40000,1385.57076,0.27382493750566705,6697.774889999999,14.48418271560053,1629.94321,1.3982773790989647
45000,1429.6412100000002,0.3311215470186295,7387.843340000001,13.619258648120441,1673.1948900000002,1.4037469739592845
50000,1473.65029,0.20270920280049573,8075.030979999999,9.755947597112273,1716.20166,1.2544434847374146
55000,1517.20301,0.1851945109877123,8753.05685,12.74644842873888,1758.6917600000002,0.768136360550613
60000,1560.98905,0.332721569033375,9435.450929999999,16.449248451588158,1802.3436200000003,1.0271572779278049
65000,1604.17294,0.3000881943696939,10101.986439999999,13.956569151493394,1845.34713,1.1740697219927612
70000,1647.1795900000002,0.3471632885257418,10749.548890000002,15.986828827096948,1887.1566199999997,1.427114577600477
75000,1690.2372899999998,0.3627506318395921,11398.487519999999,17.54076376357607,1929.6515100000001,1.1701226623307415
80000,1732.7401000000002,0.2472276764442878,12015.99286,21.251268326864665,1971.8967,1.1196489905323443
85000,1775.25255,0.422237523794363,12648.44075,18.426058631852946,2013.81263,1.0117949021911743
90000,1817.3868899999998,0.21733652454193306,13253.91234,12.691969692068815,2054.7970200000004,0.6322902589791466
95000,1859.6317299999998,0.2653174364793752,13877.236069999999,20.67151052115132,2097.23746,0.7700434938365809
100000,1901.2797700000003,0.27192745006708124,14457.082189999997,18.454189239977357,2138.2652700000003,1.307345402753089
